experiment,step,stale_tail,row_count,group_count,valid_rate,valid_group_rate,request_error_rate,direct_valid,focal_valid,final_valid,objective_valid,subjective_valid,ui_spatial_score,color_harmony_and_theme_fit,typography_rhythm_and_readability,first_view_content_messaging,ui_weight,subjective_weight,max_weight_mean,top1_same_rate,spearman_mean,z_sign_flip_rate,direct_group_var_mean,focal_group_var_mean,status_counts
Qwen3-1.7B-Base,1,0,512,64,0.986328125,1.0,0.0,8.577613108910889,6.298987075802463,8.577613108910889,7.14801092409241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6855506221733557,0.96875,0.9810758303170504,0.055445544554455446,2.1893637237970287,14.009045713710659,"{""llm_generation_error"": 119, ""render_engine_error"": 7, ""success"": 386}"
Qwen3-1.7B-Base,2,0,512,64,0.98828125,1.0,0.0,8.55284833992095,6.306478923447058,8.55284833992095,7.127373616600792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6631607477716482,0.984375,0.9845562163232894,0.043478260869565216,2.2474915631813706,14.546330917319867,"{""llm_generation_error"": 128, ""render_engine_error"": 6, ""success"": 378}"
Qwen3-1.7B-Base,3,0,512,64,0.98828125,1.0,0.0,8.633177944664038,6.430435384022711,8.633177944664038,7.194314953886695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6968834274634393,1.0,0.9764396134604456,0.06324110671936758,2.021375649998406,13.51169550381187,"{""llm_generation_error"": 107, ""render_engine_error"": 6, ""success"": 399}"
Qwen3-1.7B-Base,4,0,512,64,0.990234375,1.0,0.0,8.69799696252465,6.674768114566662,8.69799696252465,7.2483308021038795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6639992782785749,1.0,0.9666662760251461,0.0631163708086785,1.9988264646750307,13.123774497424929,"{""llm_generation_error"": 96, ""render_engine_error"": 5, ""success"": 411}"
Qwen3-1.7B-Base,5,0,512,64,0.98828125,1.0,0.0,8.739677509881421,6.78290278931794,8.739677509881421,7.283064591567853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6680522290102333,0.984375,0.9717166885240758,0.043478260869565216,1.9899719207089213,13.019456616844872,"{""llm_generation_error"": 95, ""render_engine_error"": 6, ""success"": 411}"
Qwen3-1.7B-Base,6,0,512,64,0.984375,1.0,0.0,8.81673087301588,6.930232962074259,8.81673087301588,7.347275727513227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6826307586081072,0.984375,0.9796755464609356,0.03968253968253968,1.923837030551245,12.750012319457554,"{""llm_generation_error"": 86, ""render_engine_error"": 8, ""success"": 418}"
Qwen3-1.7B-Base,7,0,512,64,0.9921875,1.0,0.0,8.826344960629918,7.004003862964228,8.826344960629918,7.3552874671916015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679969806523935,0.984375,0.9613238951287724,0.05511811023622047,1.7989875672510045,11.837009333997756,"{""llm_generation_error"": 83, ""render_engine_error"": 4, ""success"": 425}"
Qwen3-1.7B-Base,8,0,512,64,0.994140625,1.0,0.0,8.858415127701374,7.07947312500852,8.858415127701374,7.382012606417814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6817444786929829,0.984375,0.9760646905825557,0.0825147347740668,1.8019080294176737,11.585994951183729,"{""llm_generation_error"": 82, ""render_engine_error"": 3, ""success"": 427}"
Qwen3-1.7B-Base,9,0,512,64,0.982421875,1.0,0.0,8.829711013916492,6.983573545349869,8.829711013916492,7.358092511597086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6988518277579434,0.96875,0.9622266359427788,0.08349900596421471,1.7405117373733068,11.418916652432959,"{""llm_generation_error"": 76, ""render_engine_error"": 9, ""success"": 427}"
Qwen3-1.7B-Base,10,0,512,64,0.982421875,1.0,0.0,8.972569662027823,7.356575698424228,8.972569662027823,7.477141385023194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6903051880582575,1.0,0.9824939442439917,0.0536779324055666,1.5919578491161008,10.63312791747473,"{""llm_generation_error"": 65, ""render_engine_error"": 9, ""success"": 438}"
