experiment,step,stale_tail,row_count,group_count,valid_rate,valid_group_rate,request_error_rate,direct_valid,focal_valid,final_valid,objective_valid,subjective_valid,ui_spatial_score,color_harmony_and_theme_fit,typography_rhythm_and_readability,first_view_content_messaging,ui_weight,subjective_weight,max_weight_mean,top1_same_rate,spearman_mean,z_sign_flip_rate,direct_group_var_mean,focal_group_var_mean,status_counts
baseline_0414_Qwen3-4B,1,0,512,64,0.9375,1.0,0.0,6.834409128787893,3.9838625006094386,6.834409128787893,8.522284791666669,0.0,5.808333333333334,0.0,0.0,0.0,0.09909054755655286,0.0,0.10521332197023293,0.75,0.8830442810256827,0.11875,2.7837734213030507,2.7755562742156723,"{""llm_generation_error"": 53, ""parse_fail"": 9, ""render_engine_error"": 23, ""success"": 427}"
baseline_3_Qwen3-4B,64,0,512,64,0.86328125,1.0,0.0,8.521275359934185,6.404171341416831,8.521275359934185,9.595000301659125,0.0,7.701357466063349,0.0,0.0,0.0,nan,nan,nan,0.84375,0.8676493689529042,0.12669683257918551,0.38113987145535694,1.5857200658447053,"{""parse_fail"": 16, ""render_engine_error"": 54, ""success"": 442}"
baseline_3_Qwen3-4B,65,0,512,64,0.796875,1.0,0.0,8.442897482174686,6.027305273797582,8.442897482174686,9.57055714869281,0.0,7.705882352941177,0.0,0.0,0.0,nan,nan,nan,0.71875,0.8567363590569145,0.12745098039215685,0.4340467419625075,1.4906660118167574,"{""llm_generation_error"": 1, ""parse_fail"": 24, ""render_engine_error"": 80, ""success"": 407}"
baseline_3_Qwen3-4B,66,0,512,64,0.796875,1.0,0.0,8.373400022281633,5.868413352439932,8.373400022281633,9.565326511437908,0.0,7.504901960784314,0.0,0.0,0.0,nan,nan,nan,0.765625,0.8465767398642724,0.10784313725490197,0.3971152688021721,1.722283764578682,"{""parse_fail"": 18, ""render_engine_error"": 86, ""success"": 408}"
baseline_3_Qwen3-4B,67,0,512,64,0.857421875,1.0,0.0,8.502313646717742,6.239841886329331,8.502313646717742,9.62364183750949,0.0,7.922551252847381,0.0,0.0,0.0,nan,nan,nan,0.71875,0.8555519923273027,0.12072892938496584,0.43356431652886,1.6964499871807317,"{""parse_fail"": 24, ""render_engine_error"": 49, ""success"": 439}"
baseline_3_Qwen3-4B,68,0,512,64,0.732421875,1.0,0.0,8.780579054545457,6.384188515701089,8.780579054545457,10.037683822222222,0.0,7.866666666666666,0.0,0.0,0.0,nan,nan,nan,0.78125,0.865891928613021,0.12266666666666666,13.625109983070754,1.735618586485294,"{""llm_generation_error"": 1, ""parse_fail"": 31, ""render_engine_error"": 106, ""success"": 374}"
baseline_4_Qwen3-4B,21,0,512,64,0.90625,1.0,0.0,7.875742006269598,4.810464114806937,7.875742006269598,9.328587356321838,0.0,6.806034482758621,0.0,0.0,0.0,nan,nan,nan,0.71875,0.861636309175704,0.13577586206896552,0.8030000671120513,1.6065711189173102,"{""llm_generation_error"": 6, ""parse_fail"": 10, ""render_engine_error"": 38, ""success"": 458}"
baseline_4_Qwen3-4B,22,0,512,64,0.91015625,1.0,0.0,7.875909500585253,4.61495104351067,7.875909500585253,9.420605185979971,0.0,6.987124463519313,0.0,0.0,0.0,nan,nan,nan,0.671875,0.8424091028162286,0.12660944206008584,0.5326533003523253,1.4153056227043286,"{""llm_generation_error"": 2, ""parse_fail"": 12, ""render_engine_error"": 34, ""success"": 464}"
baseline_4_Qwen3-4B,23,0,512,64,0.845703125,1.0,0.0,8.032511904262027,5.222159988398093,8.032511904262027,9.391783756735949,0.0,7.020785219399538,0.0,0.0,0.0,nan,nan,nan,0.734375,0.8601204731097868,0.12702078521939955,0.747195422164811,1.8248835506161893,"{""llm_generation_error"": 4, ""parse_fail"": 18, ""render_engine_error"": 61, ""success"": 429}"
baseline_4_Qwen3-4B,24,0,512,64,0.912109375,1.0,0.0,8.01322001167997,5.083816908445475,8.01322001167997,9.378804853675947,0.0,6.873661670235546,0.0,0.0,0.0,nan,nan,nan,0.734375,0.8550981102713373,0.10706638115631692,0.6175267911632467,1.602405618269292,"{""llm_generation_error"": 4, ""parse_fail"": 12, ""render_engine_error"": 33, ""success"": 463}"
baseline_4_Qwen3-4B,25,0,512,64,0.833984375,1.0,0.0,7.9662849478390525,5.070146110316505,7.9662849478390525,9.382373302107728,0.0,6.955503512880562,0.0,0.0,0.0,nan,nan,nan,0.671875,0.810077232749802,0.1522248243559719,0.646358866663462,1.7373189890729708,"{""llm_generation_error"": 3, ""parse_fail"": 16, ""render_engine_error"": 69, ""success"": 424}"
baseline_Qwen3-1.7B-Base,1,0,512,64,0.98046875,1.0,0.0,8.650356095617525,6.497391785561781,8.650356095617525,7.208630079681274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7033304214520739,0.953125,0.9848868252598599,0.05179282868525897,1.9867905654302132,13.153349183522074,"{""llm_generation_error"": 109, ""render_engine_error"": 10, ""success"": 393}"
baseline_Qwen3-1.7B-Base,2,0,512,64,0.986328125,1.0,0.0,8.609161742574253,6.474154799950741,8.609161742574253,7.174301452145214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6759588285074857,0.953125,0.9683454940034293,0.061386138613861385,2.1027486348307853,13.843165117765972,"{""llm_generation_error"": 106, ""render_engine_error"": 7, ""success"": 399}"
baseline_a11y_Qwen3-1.7B-Base,23,0,512,64,0.958984375,1.0,0.0,6.107816496945023,2.695521625805386,6.107816496945023,8.771831941615748,0.0,5.327902240325865,0.0,0.0,0.0,0.06330620118204372,0.0,0.06330620118204372,0.734375,0.8432255604555104,0.12016293279022404,0.9738322680169883,1.423348762925025,"{""llm_generation_error"": 16, ""parse_fail"": 3, ""render_engine_error"": 18, ""success"": 475}"
baseline_a11y_Qwen3-1.7B-Base,24,0,512,64,0.966796875,1.0,0.0,6.100700606060607,2.6216355513744674,6.100700606060607,8.794213737373736,0.0,5.349494949494948,0.0,0.0,0.0,0.0601442263874343,0.0,0.0601442263874343,0.703125,0.8690873399053664,0.14343434343434344,1.020394572112107,1.366443056504542,"{""llm_generation_error"": 17, ""parse_fail"": 5, ""render_engine_error"": 12, ""success"": 478}"
baseline_a11y_Qwen3-1.7B-Base,25,0,512,64,0.966796875,1.0,0.0,6.154177685950409,2.648877897026242,6.154177685950409,8.865824074074073,0.0,5.5838383838383825,0.0,0.0,0.0,0.0539702147994841,0.0,0.054329518697264566,0.796875,0.8792883368815377,0.13333333333333333,0.9612654211190779,1.5193211369622017,"{""llm_generation_error"": 14, ""parse_fail"": 9, ""render_engine_error"": 8, ""success"": 481}"
baseline_a11y_Qwen3-1.7B-Base,26,0,512,64,0.974609375,1.0,0.0,6.172615394425215,2.6993593987178124,6.172615394425215,8.817129559118237,0.0,5.406813627254508,0.0,0.0,0.0,0.06165769075444229,0.0,0.0619230168872225,0.765625,0.8570618197610003,0.1402805611222445,0.8056725413998025,1.2257831857747503,"{""llm_generation_error"": 13, ""parse_fail"": 1, ""render_engine_error"": 12, ""success"": 486}"
