experiment,steps,step_count,step,stale_tail,row_count,group_count,valid_rate,valid_group_rate,request_error_rate,direct_valid,focal_valid,final_valid,objective_valid,subjective_valid,ui_spatial_score,color_harmony_and_theme_fit,typography_rhythm_and_readability,first_view_content_messaging,ui_weight,subjective_weight,max_weight_mean,top1_same_rate,spearman_mean,z_sign_flip_rate,direct_group_var_mean,focal_group_var_mean
focal_a11y_Qwen3-1.7B-Base,"20,21,22,23,24",5,22.0,0.0,512.0,64.0,0.959765625,1.0,0.0,5.925290439367463,2.636209614968837,2.636209614968837,8.492444840431915,0.0,5.120704463431056,0.0,0.0,0.0,0.0653493046082129,0.0,0.0657444921948657,0.784375,0.8339404303122624,0.1673318998192891,1.3457104118883574,1.4731610752788409
focal_v3_Qwen3-1.7B-Base,"132,133,134,135,136",5,134.0,0.0,512.0,64.0,0.980859375,1.0,0.0,9.062404216544877,7.738832510797837,7.738832510797837,9.552311563004643,0.0,7.695760364759677,0.0,0.0,0.0,0.34207689194195245,0.21198131172468315,0.44495379170393734,0.821875,0.9009445351768708,0.11749722640231175,0.15148144775020195,0.770016566294739
focal_v3_e0_t10_g8_Qwen3-1.7B-Base,"95,96,97,98,99",5,97.0,0.0,1024.0,64.0,0.9880859375,1.0,0.0,8.995025539900109,7.401764183028838,7.401764183028838,9.518248195023798,7.948580229652715,7.647666106703968,7.839052643720703,8.191006583823576,7.815681461413869,0.44261518006194783,0.18379669037899252,0.7117884401689587,0.765625,0.8315479972992662,0.19707755600999588,0.1891515636965843,1.1942881026461722
focal_v3_e0_t1_g8_Qwen3-1.7B-Base,"102,103,104,105,106",5,104.0,0.0,1024.0,64.0,0.9833984375,1.0,0.0,8.953379774505063,7.532794847887092,7.532794847887092,9.388890450981128,8.082358421552915,7.754250180603853,7.98579420407768,8.283393836744281,7.9778872238367855,0.4702025756359121,0.17482229338838373,0.7272057334654656,0.68125,0.6863991165344346,0.2607747316462719,0.20077631890639663,0.8776613712309229
focal_v3_n16_e005_t10_g5_Qwen3-1.7B,"17,18,19,20,21",5,19.0,0.0,1024.0,64.0,0.991796875,1.0,0.0,8.537476652940121,6.580373256498767,6.580373256498767,9.166622236746214,7.279185485327953,6.799884463880609,7.156607243631781,7.6487812888009135,7.032167923551162,0.3903009288896552,0.18268230628468551,0.5670834466058411,0.65,0.826198063794233,0.18274055583112975,0.37838604948362514,1.4693233549876634
focal_v3_n16_e005_t5_g5_Qwen3-1.7B,"17,18,19,20,21",5,19.0,0.0,1024.0,64.0,0.9919921875,1.0,0.0,8.5532250106196,6.584088067855026,6.584088067855026,9.174644844571121,7.31038534271655,6.784597807031088,7.201382513891308,7.677750159631641,7.052023354626702,0.40936391331980476,0.17765580908542264,0.5742045514805628,0.653125,0.8344326357261084,0.1862758570019282,0.2974607669720588,1.2758241379997166
focal_v3_n16_e0_t1_g5_3e-6_4k_Qwen3-4B,"26,27,28,29,30",5,28.0,0.0,1024.0,64.0,0.96875,1.0,0.0,9.267495296566711,8.049458991604535,8.049458991604535,9.693466537683431,8.415552814333218,8.246214036597891,8.376312864759248,8.459868765724938,8.41047681251547,0.31978653272628643,0.22673248818972885,0.5792212633572379,0.928125,0.9245463798950132,0.14437754788202137,0.11990767861659549,0.8250291092385547
focal_v3_n16_e0_t1_g5_3e-6_Qwen3-4B,"35,36,37,38,39",5,37.0,0.0,1024.0,64.0,0.98125,1.0,0.0,9.229878309854175,8.022505732185797,8.022505732185797,9.687028842633321,8.31557724429586,8.236948102420286,8.280350470325057,8.361632408143144,8.30474885441938,0.2802968921204438,0.23988938206062493,0.5427849472471633,0.940625,0.9148227865802587,0.13693623662488247,0.13239564317519822,0.8662266050674491
focal_v3_n16_e0_t1_g5_Qwen3-4B,"15,16,17,18,20",5,17.2,0.0,1024.0,64.0,0.9455078125,1.0,0.0,9.162711770278147,7.8451959244298495,7.8451959244298495,9.632791992238122,8.222551326358165,7.999456069469727,8.203900210126175,8.287098589282488,8.176655179665829,0.34947190879631507,0.2159948142871737,0.5636179577020763,0.85625,0.909442459985532,0.1387443619432827,0.11839388672535867,0.7393340142963026
focal_v3_n16_e0_t1_g8_Qwen3-1.7B,"78,79,80,81,82",5,80.0,0.0,1024.0,64.0,0.987890625,1.0,0.0,9.022242010858832,7.487600816893256,7.487600816893256,9.448397419932153,8.169931192712198,7.746326032478249,8.04232560317405,8.316374268283894,8.151093706678651,0.45217471239441054,0.17900739474654895,0.7406400468625216,0.665625,0.8181419603548716,0.21232896209526392,0.19766596820728916,1.128917367905131
focal_v3_n16_g2_Qwen3-1.7B-Base,"102,103,104,105,106",5,104.0,0.0,1024.0,64.0,0.988671875,1.0,0.0,9.097024075670534,7.961733677488667,7.961733677488667,9.613850876094844,0.0,7.829376702753613,0.0,0.0,0.0,0.2773604255431494,0.22194745521387987,0.3489897950437807,0.853125,0.9526331895332867,0.07389339260962734,0.13795760674936675,0.6007804373086806
focal_v3_n16_g3_Qwen3-1.7B-Base,"90,91,92,93,94",5,92.0,0.0,1024.0,64.0,0.9775390625,1.0,0.0,9.01857138814673,7.698625524996002,7.698625524996002,9.547959515620079,0.0,7.711036373627715,0.0,0.0,0.0,0.3119399851379354,0.22250607606665723,0.4242723951026216,0.778125,0.8882202838255002,0.13288254251583387,0.12846453793704055,0.6499566689368665
focal_v3_n8_g2_Qwen3-1.7B-Base,"110,111,112,113,114",5,112.0,0.0,512.0,64.0,0.991015625,1.0,0.0,9.010712985866913,7.787911371027299,7.787911371027299,9.514541290072163,0.0,7.538009483590692,0.0,0.0,0.0,0.303325175930456,0.20854668170704027,0.3668369545359815,0.803125,0.9164996702401517,0.1048634232231711,0.1141069637114858,0.5742775141695233
focal_v4_0421_Qwen3-1.7B-Base,"112,113,114,115,116",5,114.0,0.0,512.0,64.0,1.0,1.0,0.0,9.992170757812499,9.976997248966537,9.976997248966537,8.32680896484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21753535170199015,1.0,1.0,0.0,0.01583169590158203,0.13215770651513972
