step,temperature,gamma,epsilon,group_count,row_count,normalized_kendall_distance_mean,normalized_kendall_distance_p90,spearman_rank_corr_mean,spearman_rank_corr_p90,z_advantage_corr_mean,z_advantage_corr_p90,z_advantage_sign_flip_rate_mean,z_advantage_sign_flip_rate_p90,mean_abs_z_advantage_delta_mean,mean_abs_z_advantage_delta_p90,top1_same_rate_mean,top1_same_rate_p90
1,0.1,0.0,0.0,64,1024,0.0,0.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,3.3729443956546765e-16,5.22621368271462e-16,1.0,1.0
1,0.1,0.0,0.01,64,1024,0.0,0.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,3.3729443956546765e-16,5.22621368271462e-16,1.0,1.0
1,0.1,0.0,0.02,64,1024,0.0,0.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,3.3729443956546765e-16,5.22621368271462e-16,1.0,1.0
1,0.1,0.0,0.05,64,1024,0.0,0.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,3.3729443956546765e-16,5.22621368271462e-16,1.0,1.0
1,0.1,0.0,0.1,64,1024,0.0,0.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,3.3729443956546765e-16,5.22621368271462e-16,1.0,1.0
1,0.1,0.0,0.2,64,1024,0.0,0.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,3.3729443956546765e-16,5.22621368271462e-16,1.0,1.0
1,0.1,0.5,0.0,64,1024,0.103125,0.15875000000000003,0.8934435178982527,0.9737269056185394,0.9422416766175534,0.9790635042660369,0.1611328125,0.2937500000000002,0.2598325569112716,0.36581370424481036,0.65625,1.0
1,0.1,0.5,0.01,64,1024,0.08606770833333334,0.13625,0.9192990879361623,0.9837277324573089,0.9642172823596601,0.9857538669020796,0.1318359375,0.25,0.2031707669884809,0.27409836939130316,0.65625,1.0
1,0.1,0.5,0.02,64,1024,0.07799479166666666,0.1254166666666667,0.9302230428725978,0.987246482985807,0.9712046315886763,0.9885805208768983,0.109375,0.25,0.18163848120620882,0.2446099626543613,0.703125,1.0
1,0.1,0.5,0.05,64,1024,0.06744791666666666,0.10833333333333334,0.9430689746020884,0.9896219872598945,0.9813500123885559,0.993319963468557,0.0869140625,0.1875,0.14527060193321356,0.2053234266910506,0.765625,1.0
1,0.1,0.5,0.1,64,1024,0.054296875,0.09458333333333335,0.9584703241734505,0.9932788430943086,0.9884799952138911,0.9961285332161655,0.068359375,0.1875,0.11350900764760506,0.16724207415633838,0.78125,1.0
1,0.1,0.5,0.2,64,1024,0.03984375,0.07250000000000002,0.97432639627614,0.9962661478855697,0.9939781865133225,0.9980194885240862,0.05078125,0.125,0.08149523661128409,0.12521143889325936,0.84375,1.0
1,0.1,1.0,0.0,64,1024,0.11067708333333333,0.16000000000000003,0.885858150844089,0.9687155370662973,0.9295914976688474,0.9713431293182054,0.1728515625,0.3125,0.290868882785023,0.3855726113753594,0.578125,1.0
1,0.1,1.0,0.01,64,1024,0.10807291666666667,0.15875000000000003,0.8894412126229828,0.9687155370662973,0.9350548379671958,0.9734338486229652,0.1708984375,0.3125,0.27867088176948684,0.37458547838014483,0.59375,1.0
1,0.1,1.0,0.02,64,1024,0.10611979166666667,0.15875000000000003,0.8926321064406118,0.9718522070971215,0.9398968749316456,0.9753691778939858,0.16015625,0.25,0.26747297216133026,0.36451943369418927,0.59375,1.0
1,0.1,1.0,0.05,64,1024,0.0984375,0.14166666666666666,0.9034040584380263,0.9783224224631454,0.9515451965019155,0.9810605692988907,0.1484375,0.25,0.23869680390296608,0.3337459628483004,0.609375,1.0
1,0.1,1.0,0.1,64,1024,0.086328125,0.13333333333333333,0.9206351018509514,0.9862732908471227,0.9645991739327642,0.9861573461246358,0.1220703125,0.25,0.20234634847903976,0.28249686392738227,0.625,1.0
1,0.1,1.0,0.2,64,1024,0.07109375,0.11125000000000002,0.9397730587927171,0.9880381874411727,0.9787540869950135,0.9921253850198866,0.095703125,0.25,0.15498943365430196,0.21843132539661575,0.71875,1.0
