step,row_count,group_count,group_size_counts,status_counts,row_direct_abs_error_mean,row_direct_abs_error_max,row_focal_abs_error_mean,row_focal_abs_error_max,group_direct_abs_error_mean,group_direct_abs_error_max,group_focal_abs_error_mean,group_focal_abs_error_max,normalized_kendall_distance_mean,normalized_kendall_distance_max,spearman_rank_corr_mean,z_advantage_corr_mean,z_advantage_sign_flip_rate_mean,mean_abs_z_advantage_delta_mean,top1_same_rate
11,1024,64,"{""16"": 64}","{""llm_generation_error"": 73, ""parse_fail"": 5, ""render_engine_error"": 24, ""success"": 922}",0.7897642349356192,4.067389629629629,1.2318833351386358,5.154552669850047,1.8041124150158794e-16,8.881784197001252e-16,1.3183898417423734e-16,8.881784197001252e-16,0.14153645833333334,0.31666666666666665,0.8503269221761404,0.8681852262667201,0.1787109375,0.4010882843501042,0.671875
12,1024,64,"{""16"": 64}","{""llm_generation_error"": 76, ""parse_fail"": 2, ""render_engine_error"": 14, ""success"": 932}",0.8435205281704695,4.121527777777777,1.3111646874742275,4.88551363329803,3.469446951953614e-16,8.881784197001252e-16,1.3183898417423734e-16,8.881784197001252e-16,0.12884114583333334,0.3125,0.864354915862322,0.8796082687989113,0.1630859375,0.36855907024188644,0.640625
13,1024,64,"{""16"": 64}","{""llm_generation_error"": 61, ""parse_fail"": 13, ""render_engine_error"": 5, ""success"": 945}",0.79236991213521,4.222222222222221,1.2626375148042963,5.488953984442654,3.0531133177191805e-16,1.7763568394002505e-15,1.0408340855860843e-16,8.881784197001252e-16,0.14622395833333332,0.35833333333333334,0.8398078052973347,0.8630837720032283,0.1748046875,0.4011220487167828,0.65625
14,1024,64,"{""16"": 64}","{""llm_generation_error"": 53, ""parse_fail"": 4, ""render_engine_error"": 11, ""success"": 956}",0.7621792402188741,4.244123611111112,1.229094967085643,5.270517922285803,3.0531133177191805e-16,8.881784197001252e-16,6.245004513516506e-17,8.881784197001252e-16,0.1345703125,0.275,0.8592453871488167,0.8806890566973034,0.171875,0.3802439004894956,0.6875
15,1024,64,"{""16"": 64}","{""llm_generation_error"": 54, ""parse_fail"": 6, ""render_engine_error"": 18, ""success"": 946}",0.7611266741458953,4.41898125,1.2916600876530009,5.2718927529014366,1.8041124150158794e-16,8.881784197001252e-16,1.249000902703301e-16,8.881784197001252e-16,0.13059895833333332,0.325,0.8590817726637253,0.8724470583307167,0.1611328125,0.3830936048931362,0.734375
16,1024,64,"{""16"": 64}","{""llm_generation_error"": 50, ""parse_fail"": 9, ""render_engine_error"": 19, ""success"": 946}",0.7593995056604456,4.335262500000001,1.2871948305334313,5.470295017448147,3.3306690738754696e-16,8.881784197001252e-16,1.8735013540549517e-16,8.881784197001252e-16,0.12649739583333333,0.35833333333333334,0.8707478099235328,0.8864965250283686,0.150390625,0.36010880755180413,0.671875
17,1024,64,"{""16"": 64}","{""judge_fail"": 1, ""llm_generation_error"": 43, ""parse_fail"": 3, ""render_engine_error"": 9, ""success"": 968}",0.7238023497178819,4.477777777777778,1.2362500103667682,5.301565672392148,3.3306690738754696e-16,1.7763568394002505e-15,1.0408340855860843e-16,8.881784197001252e-16,0.12643229166666667,0.3625,0.8683750603863178,0.8894581487134736,0.15625,0.35359960425566495,0.640625
18,1024,64,"{""16"": 64}","{""llm_generation_error"": 35, ""parse_fail"": 5, ""render_engine_error"": 12, ""success"": 972}",0.6882927054398148,4.327020138888889,1.2505003934711567,5.151731624333876,2.914335439641036e-16,8.881784197001252e-16,1.0408340855860843e-16,8.881784197001252e-16,0.12649739583333333,0.31666666666666665,0.8669370741374522,0.8894641840117241,0.138671875,0.35653597263034115,0.640625
19,1024,64,"{""16"": 64}","{""llm_generation_error"": 31, ""parse_fail"": 5, ""render_engine_error"": 6, ""success"": 982}",0.6356579591652198,4.6875,1.1799075021790122,5.82397355034269,2.914335439641036e-16,8.881784197001252e-16,1.5265566588595902e-16,8.881784197001252e-16,0.12766927083333332,0.3541666666666667,0.8614039361032086,0.8755305716142917,0.1650390625,0.37143249680253165,0.765625
20,1024,64,"{""16"": 64}","{""llm_generation_error"": 29, ""parse_fail"": 4, ""render_engine_error"": 2, ""success"": 989}",0.6285197477213541,4.486111111111111,1.1584397927526897,5.691057564946818,2.636779683484747e-16,1.7763568394002505e-15,1.457167719820518e-16,8.881784197001252e-16,0.1205078125,0.30833333333333335,0.8772368204007138,0.8995755577004181,0.1396484375,0.33610217294284483,0.78125
21,1024,64,"{""16"": 64}","{""llm_generation_error"": 21, ""parse_fail"": 8, ""render_engine_error"": 4, ""success"": 991}",0.5815545289765212,4.5764903703703705,1.1107216444771724,5.673179524615947,3.0531133177191805e-16,1.7763568394002505e-15,2.1510571102112408e-16,8.881784197001252e-16,0.12109375,0.30833333333333335,0.8744877287362052,0.8872642190079608,0.138671875,0.33857517520986,0.71875
22,1024,64,"{""16"": 64}","{""llm_generation_error"": 23, ""parse_fail"": 6, ""render_engine_error"": 1, ""success"": 994}",0.5832670256308904,4.797032638888888,1.0975869817270125,6.292613330422208,3.7470027081099033e-16,1.7763568394002505e-15,1.3877787807814457e-16,8.881784197001252e-16,0.12526041666666668,0.24583333333333332,0.8697781937576017,0.8981495859012952,0.1435546875,0.325019393024162,0.71875
23,1024,64,"{""16"": 64}","{""llm_generation_error"": 11, ""parse_fail"": 3, ""render_engine_error"": 9, ""success"": 1001}",0.5565585361767319,4.673015555555555,1.116710477944595,5.989681136671985,3.0531133177191805e-16,1.7763568394002505e-15,1.457167719820518e-16,8.881784197001252e-16,0.10299479166666667,0.23333333333333334,0.9016734918956898,0.9111886225906812,0.1015625,0.2883762841354001,0.703125
24,1024,64,"{""16"": 64}","{""llm_generation_error"": 7, ""parse_fail"": 4, ""render_engine_error"": 3, ""success"": 1010}",0.525885230396412,4.4515465277777775,1.0428642182312038,5.531408179114341,2.636779683484747e-16,1.7763568394002505e-15,1.457167719820518e-16,8.881784197001252e-16,0.11803385416666666,0.29583333333333334,0.8794919798388646,0.8909665479162858,0.1123046875,0.3283771590178983,0.734375
25,1024,64,"{""16"": 64}","{""llm_generation_error"": 9, ""parse_fail"": 6, ""render_engine_error"": 3, ""success"": 1006}",0.5371283099139178,4.665178472222221,1.104421437230458,5.8085859529750685,3.3306690738754696e-16,1.7763568394002505e-15,1.1102230246251565e-16,8.881784197001252e-16,0.10638020833333334,0.2791666666666667,0.8963655454561159,0.9060786555667324,0.1103515625,0.3055185581342868,0.703125
26,1024,64,"{""16"": 64}","{""llm_generation_error"": 13, ""parse_fail"": 8, ""render_engine_error"": 3, ""success"": 1000}",0.562593111307457,4.752838194444443,1.1244560268210069,5.8656455609489555,3.469446951953614e-16,1.7763568394002505e-15,1.734723475976807e-16,8.881784197001252e-16,0.1146484375,0.30833333333333335,0.8894231645346207,0.9043163897882598,0.1142578125,0.31319839908739744,0.8125
27,1024,64,"{""16"": 64}","{""llm_generation_error"": 14, ""parse_fail"": 9, ""render_engine_error"": 4, ""success"": 997}",0.5420179009977472,4.85325111111111,1.0505951452717852,6.301593433114269,3.191891195797325e-16,1.7763568394002505e-15,1.3877787807814457e-16,8.881784197001252e-16,0.11067708333333333,0.275,0.8880373431447575,0.9008193547725772,0.1474609375,0.31220089072140567,0.71875
28,1024,64,"{""16"": 64}","{""llm_generation_error"": 3, ""parse_fail"": 9, ""render_engine_error"": 1, ""success"": 1011}",0.49112465738932287,4.423393055555556,0.9954578604390513,5.7113601453318745,2.914335439641036e-16,1.7763568394002505e-15,1.8041124150158794e-16,8.881784197001252e-16,0.11497395833333333,0.2833333333333333,0.8822745988699071,0.8924915062229881,0.1376953125,0.3313219537263299,0.75
29,1024,64,"{""16"": 64}","{""llm_generation_error"": 9, ""parse_fail"": 5, ""render_engine_error"": 3, ""success"": 1007}",0.5229108549442998,4.7951388888888875,1.0403278316894375,6.076431602674764,3.0531133177191805e-16,1.7763568394002505e-15,1.1796119636642288e-16,8.881784197001252e-16,0.11106770833333333,0.35833333333333334,0.8881785528108831,0.9093586420811515,0.1357421875,0.30437695863240555,0.65625
30,1024,64,"{""16"": 64}","{""llm_generation_error"": 5, ""parse_fail"": 9, ""render_engine_error"": 3, ""success"": 1007}",0.4969140162941261,4.690972222222221,1.0118572301427349,5.809701143894201,3.7470027081099033e-16,1.7763568394002505e-15,1.249000902703301e-16,8.881784197001252e-16,0.1208984375,0.25416666666666665,0.8830342360050888,0.8922723531891856,0.11328125,0.3273345949389094,0.8125
31,1024,64,"{""16"": 64}","{""llm_generation_error"": 7, ""parse_fail"": 6, ""render_engine_error"": 1, ""success"": 1010}",0.5261765992115163,4.989583333333332,1.084286470252179,6.538976513699566,4.579669976578771e-16,1.7763568394002505e-15,1.5265566588595902e-16,8.881784197001252e-16,0.10618489583333333,0.275,0.898326798396642,0.9148670635538048,0.115234375,0.288191735708876,0.75
32,1024,64,"{""16"": 64}","{""llm_generation_error"": 10, ""parse_fail"": 4, ""render_engine_error"": 2, ""success"": 1008}",0.5309845845992477,4.912809027777778,1.0575043539002198,6.336209538589371,3.0531133177191805e-16,1.7763568394002505e-15,1.3877787807814457e-16,8.881784197001252e-16,0.10006510416666667,0.22916666666666666,0.902076644069059,0.9161917984575124,0.1103515625,0.2778114704333197,0.890625
33,1024,64,"{""16"": 64}","{""llm_generation_error"": 7, ""parse_fail"": 9, ""render_engine_error"": 4, ""success"": 1004}",0.4971085111038773,5.0024798611111105,1.020593381138958,6.494654296802182,3.191891195797325e-16,1.7763568394002505e-15,2.220446049250313e-16,8.881784197001252e-16,0.10143229166666667,0.3875,0.893625917232623,0.9153701268776931,0.115234375,0.27882067509916475,0.71875
34,1024,64,"{""16"": 64}","{""llm_generation_error"": 7, ""parse_fail"": 7, ""render_engine_error"": 2, ""success"": 1008}",0.47682540409794566,4.913582638888888,0.9460161490825855,6.648833936868959,3.3306690738754696e-16,1.7763568394002505e-15,1.8041124150158794e-16,8.881784197001252e-16,0.11666666666666667,0.3,0.879382375984947,0.8978137557796175,0.111328125,0.3035994915321114,0.765625
35,1024,64,"{""16"": 64}","{""llm_generation_error"": 9, ""parse_fail"": 4, ""render_engine_error"": 9, ""success"": 1002}",0.47823073381696435,4.930372916666666,0.9833954755111779,6.41206155895594,4.0245584642661925e-16,1.7763568394002505e-15,1.249000902703301e-16,8.881784197001252e-16,0.09928385416666667,0.24583333333333332,0.9081678087362717,0.9245453982330317,0.107421875,0.26770498551711025,0.6875
36,1024,64,"{""16"": 64}","{""llm_generation_error"": 3, ""parse_fail"": 4, ""render_engine_error"": 2, ""success"": 1015}",0.43708869349888396,4.9375,0.9748727492900929,6.359016353474879,2.3592239273284576e-16,1.7763568394002505e-15,2.636779683484747e-16,8.881784197001252e-16,0.10768229166666667,0.3541666666666667,0.8933824472638351,0.9093988453506319,0.1259765625,0.2812612958603143,0.6875
37,1024,64,"{""16"": 64}","{""llm_generation_error"": 4, ""parse_fail"": 3, ""render_engine_error"": 1, ""success"": 1016}",0.42570841570818874,4.96875,0.906241161908945,6.204094053520105,3.0531133177191805e-16,1.7763568394002505e-15,1.249000902703301e-16,8.881784197001252e-16,0.11829427083333333,0.25416666666666665,0.8760340884402156,0.8976330231155304,0.1279296875,0.3118527693176304,0.78125
38,1024,64,"{""16"": 64}","{""llm_generation_error"": 4, ""parse_fail"": 5, ""render_engine_error"": 2, ""success"": 1013}",0.41475751467427246,4.8277777777777775,0.8912867753532672,6.112993325296018,2.498001805406602e-16,1.7763568394002505e-15,1.942890293094024e-16,8.881784197001252e-16,0.11809895833333334,0.22916666666666666,0.8783861173277915,0.9022529532892943,0.1181640625,0.3089089164961303,0.734375
39,1024,64,"{""16"": 64}","{""llm_generation_error"": 2, ""parse_fail"": 7, ""render_engine_error"": 2, ""success"": 1013}",0.41843370012555814,4.358465972222222,0.8829368982018571,5.94481556695392,1.6653345369377348e-16,1.7763568394002505e-15,1.3877787807814457e-16,8.881784197001252e-16,0.110546875,0.2708333333333333,0.8896018488786904,0.8955383909820851,0.1279296875,0.31644391744991024,0.75
40,1024,64,"{""16"": 64}","{""llm_generation_error"": 3, ""parse_fail"": 6, ""render_engine_error"": 2, ""success"": 1013}",0.3896117673068577,4.697531111111111,0.8305240351534869,5.861734664589002,5.412337245047638e-16,1.7763568394002505e-15,2.42861286636753e-16,8.881784197001252e-16,0.10924479166666667,0.35,0.8967182230510196,0.8983707891087261,0.1025390625,0.3110765891895206,0.796875
41,1024,64,"{""16"": 64}","{""judge_fail"": 1, ""llm_generation_error"": 1, ""parse_fail"": 4, ""render_engine_error"": 7, ""success"": 1011}",0.3781143082553118,4.677018518518517,0.841808228154866,5.975914728404031,4.163336342344337e-16,1.7763568394002505e-15,1.6653345369377348e-16,8.881784197001252e-16,0.11165364583333333,0.24166666666666667,0.8890403101394085,0.900970615018517,0.1171875,0.3101704139544649,0.703125
42,1024,64,"{""16"": 64}","{""llm_generation_error"": 1, ""parse_fail"": 4, ""success"": 1019}",0.36420181776258687,4.724702083333332,0.8171916785708528,5.790617804803729,3.191891195797325e-16,1.7763568394002505e-15,1.8041124150158794e-16,8.881784197001252e-16,0.11236979166666666,0.2625,0.8884346675630047,0.8990824716073893,0.1171875,0.3179964678783852,0.734375
43,1024,64,"{""16"": 64}","{""llm_generation_error"": 6, ""parse_fail"": 13, ""render_engine_error"": 3, ""success"": 1002}",0.39624818693938085,4.9484125,0.8544019914661498,6.2949966573438,2.498001805406602e-16,1.7763568394002505e-15,1.6653345369377348e-16,8.881784197001252e-16,0.11634114583333334,0.22083333333333333,0.8824511799616966,0.8993191620405638,0.13671875,0.3215874275922144,0.765625
44,1024,64,"{""16"": 64}","{""llm_generation_error"": 3, ""parse_fail"": 9, ""success"": 1012}",0.3598194515232309,4.931134027777777,0.8258306405873843,6.328669048033466,4.85722573273506e-16,1.7763568394002505e-15,1.6653345369377348e-16,8.881784197001252e-16,0.12923177083333334,0.30833333333333335,0.8586088316605491,0.8647101704131949,0.1640625,0.35311831956153156,0.84375
45,1024,64,"{""16"": 64}","{""llm_generation_error"": 4, ""parse_fail"": 5, ""success"": 1015}",0.35754165572554986,4.960069444444445,0.8168466981897098,6.624556229185434,4.0245584642661925e-16,1.7763568394002505e-15,1.6653345369377348e-16,8.881784197001252e-16,0.12506510416666666,0.3,0.8694050914568814,0.8918466785588236,0.134765625,0.3279460006392833,0.671875
46,1024,64,"{""16"": 64}","{""llm_generation_error"": 2, ""parse_fail"": 7, ""success"": 1015}",0.3570372566731772,5.206619444444444,0.7906297674011166,6.892460177028791,4.163336342344337e-16,1.7763568394002505e-15,1.249000902703301e-16,8.881784197001252e-16,0.12096354166666666,0.25833333333333336,0.8762187108859304,0.8863656378653347,0.1337890625,0.3305220792636115,0.75
47,1024,64,"{""16"": 64}","{""llm_generation_error"": 2, ""parse_fail"": 12, ""render_engine_error"": 1, ""success"": 1009}",0.33927452537254066,5.3342013888888875,0.7430691174899478,7.180581950155312,4.0245584642661925e-16,1.7763568394002505e-15,1.6653345369377348e-16,8.881784197001252e-16,0.1220703125,0.30416666666666664,0.8718640621656544,0.8673281410171082,0.138671875,0.3662857855403354,0.703125
48,1024,64,"{""16"": 64}","{""llm_generation_error"": 2, ""parse_fail"": 4, ""render_engine_error"": 2, ""success"": 1016}",0.3107444154188369,5.121527777777777,0.7323712054282775,6.737638658773449,3.608224830031759e-16,1.7763568394002505e-15,6.938893903907228e-17,8.881784197001252e-16,0.12923177083333334,0.32083333333333336,0.8586651194661477,0.837558815398461,0.16015625,0.39517429038263596,0.6875
49,1024,64,"{""16"": 64}","{""llm_generation_error"": 2, ""parse_fail"": 9, ""render_engine_error"": 1, ""success"": 1012}",0.3298042601634839,5.069830555555555,0.7336286163819601,6.388664382760239,3.7470027081099033e-16,1.7763568394002505e-15,2.220446049250313e-16,8.881784197001252e-16,0.13196614583333333,0.2875,0.8629076876365581,0.8656593992268033,0.1484375,0.3617257875872739,0.75
50,1024,64,"{""16"": 64}","{""llm_generation_error"": 3, ""parse_fail"": 7, ""render_engine_error"": 1, ""success"": 1013}",0.328798534445788,5.1232638888888875,0.7499236314719564,6.992362990601977,3.469446951953614e-16,1.7763568394002505e-15,2.220446049250313e-16,8.881784197001252e-16,0.131640625,0.2791666666666667,0.8599674317698109,0.8651106643967403,0.177734375,0.37607929694312625,0.734375
51,1024,64,"{""16"": 64}","{""llm_generation_error"": 2, ""parse_fail"": 4, ""success"": 1018}",0.31649019965277786,5.252740972222222,0.7117759832440768,7.130060873655578,5.689893001203927e-16,1.7763568394002505e-15,1.5265566588595902e-16,8.881784197001252e-16,0.12545572916666667,0.26666666666666666,0.8673648400871181,0.8707207595189678,0.1474609375,0.35274914942044366,0.75
52,1024,64,"{""16"": 64}","{""llm_generation_error"": 1, ""parse_fail"": 8, ""render_engine_error"": 1, ""success"": 1014}",0.32162373687582685,4.9682243055555535,0.7393582336739682,6.571796226553075,4.718447854656915e-16,1.7763568394002505e-15,1.8041124150158794e-16,8.881784197001252e-16,0.12161458333333333,0.30833333333333335,0.8724499904052181,0.8758220658583544,0.1552734375,0.35628986937108836,0.671875
53,1024,64,"{""16"": 64}","{""llm_generation_error"": 4, ""parse_fail"": 11, ""render_engine_error"": 2, ""success"": 1007}",0.337847386054791,5.214120138888889,0.7424307989883352,6.801327003476283,2.914335439641036e-16,1.7763568394002505e-15,1.6653345369377348e-16,8.881784197001252e-16,0.12975260416666667,0.30416666666666664,0.8689012657569355,0.8685081159460688,0.162109375,0.3729881739317371,0.59375
54,1024,64,"{""16"": 64}","{""parse_fail"": 12, ""success"": 1012}",0.27598610478153945,2.8346923611111112,0.6479832145718901,3.872498228228954,3.0531133177191805e-16,1.7763568394002505e-15,1.942890293094024e-16,8.881784197001252e-16,0.14244791666666667,0.26666666666666666,0.8356364151019477,0.8506912709516351,0.1806640625,0.39980457952973975,0.71875
55,1024,64,"{""16"": 64}","{""llm_generation_error"": 4, ""parse_fail"": 18, ""render_engine_error"": 2, ""success"": 1000}",0.31757459399026555,5.210262500000001,0.6908117389266558,7.302940217979185,3.0531133177191805e-16,1.7763568394002505e-15,1.942890293094024e-16,1.7763568394002505e-15,0.12799479166666666,0.3958333333333333,0.8559476571246217,0.8673013624686694,0.1494140625,0.35255833071459586,0.703125
56,1024,64,"{""16"": 64}","{""llm_generation_error"": 1, ""parse_fail"": 6, ""render_engine_error"": 1, ""success"": 1016}",0.2987265560800059,5.099536805555555,0.6896388893934463,6.758525375086529,3.608224830031759e-16,1.7763568394002505e-15,2.498001805406602e-16,8.881784197001252e-16,0.12786458333333334,0.3125,0.8695057222315368,0.8927279616737414,0.1376953125,0.3301053722597389,0.71875
57,1024,64,"{""16"": 64}","{""parse_fail"": 7, ""render_engine_error"": 2, ""success"": 1015}",0.2953539199683781,2.4735437499999993,0.6911144857421656,6.203033950535572,5.551115123125783e-16,1.7763568394002505e-15,2.0816681711721685e-16,8.881784197001252e-16,0.12825520833333334,0.25416666666666665,0.867706071838201,0.8911766678817356,0.166015625,0.3331249211650626,0.75
58,1024,64,"{""16"": 64}","{""llm_generation_error"": 1, ""parse_fail"": 13, ""render_engine_error"": 4, ""success"": 1006}",0.2867374927662039,5.416348611111109,0.6671371172254529,7.34143837592583,4.440892098500626e-16,1.7763568394002505e-15,2.498001805406602e-16,8.881784197001252e-16,0.13444010416666666,0.3458333333333333,0.8565665880146881,0.8763642179712164,0.150390625,0.35941706771155807,0.75
59,1024,64,"{""16"": 64}","{""llm_generation_error"": 7, ""parse_fail"": 9, ""success"": 1008}",0.34622422767400074,5.358581944444444,0.7574806285027423,7.409013231197812,6.38378239159465e-16,1.7763568394002505e-15,1.6653345369377348e-16,8.881784197001252e-16,0.12239583333333333,0.26666666666666666,0.8687121372422801,0.8923629605520075,0.15625,0.3291039559440272,0.65625
60,1024,64,"{""16"": 64}","{""llm_generation_error"": 1, ""parse_fail"": 6, ""success"": 1017}",0.28458760470920147,5.367324305555556,0.6697158433449057,7.210012377645994,4.440892098500626e-16,1.7763568394002505e-15,1.942890293094024e-16,1.7763568394002505e-15,0.136328125,0.25833333333333336,0.8588181324918118,0.8594328724472251,0.1572265625,0.3767560178778249,0.75
61,1024,64,"{""16"": 64}","{""llm_generation_error"": 3, ""parse_fail"": 11, ""success"": 1010}",0.28330240324797473,5.364351111111111,0.6791763767808584,7.443973188257477,5.134781488891349e-16,1.7763568394002505e-15,2.220446049250313e-16,1.7763568394002505e-15,0.124609375,0.25833333333333336,0.8785971813697434,0.881323137417329,0.1640625,0.3512438374634082,0.75
62,1024,64,"{""16"": 64}","{""llm_generation_error"": 5, ""parse_fail"": 14, ""success"": 1005}",0.2961165142014924,5.386243055555555,0.6834282648704791,7.338206951527507,5.134781488891349e-16,1.7763568394002505e-15,2.636779683484747e-16,1.7763568394002505e-15,0.12662760416666666,0.26666666666666666,0.8694901400552377,0.8968976790070787,0.1708984375,0.3384934662240214,0.734375
63,1024,64,"{""16"": 64}","{""parse_fail"": 9, ""success"": 1015}",0.280735779544891,2.6764305555555543,0.6741231249398524,5.2436182455144795,3.885780586188048e-16,1.7763568394002505e-15,1.8041124150158794e-16,8.881784197001252e-16,0.1357421875,0.2916666666666667,0.8554314397889972,0.8437422344889888,0.16796875,0.38562741821982605,0.84375
64,1024,64,"{""16"": 64}","{""llm_generation_error"": 2, ""parse_fail"": 9, ""render_engine_error"": 1, ""success"": 1012}",0.2762444730825274,5.083265277777777,0.6602939060986529,6.6425990509213415,5.273559366969494e-16,1.7763568394002505e-15,1.5265566588595902e-16,8.881784197001252e-16,0.13984375,0.31666666666666665,0.8399587838529472,0.8229838951739431,0.2021484375,0.4151124031656026,0.75
65,1024,64,"{""16"": 64}","{""llm_generation_error"": 1, ""parse_fail"": 10, ""render_engine_error"": 1, ""success"": 1012}",0.25796645249462646,5.085174305555556,0.6037349615495599,6.685118782028223,3.885780586188048e-16,1.7763568394002505e-15,2.498001805406602e-16,1.7763568394002505e-15,0.1326171875,0.30416666666666664,0.8576797086119304,0.8593677219889555,0.162109375,0.37985816148485213,0.703125
66,1024,64,"{""16"": 64}","{""llm_generation_error"": 4, ""parse_fail"": 5, ""success"": 1015}",0.28812156250000015,5.6056131944444445,0.6501751262368173,7.9214544732326475,3.885780586188048e-16,1.7763568394002505e-15,2.0816681711721685e-16,8.881784197001252e-16,0.14147135416666667,0.31666666666666665,0.8450786195469739,0.8575269883047629,0.171875,0.38598925430392916,0.734375
67,1024,64,"{""16"": 64}","{""llm_generation_error"": 1, ""parse_fail"": 13, ""render_engine_error"": 2, ""success"": 1008}",0.2914771051678719,5.371247916666665,0.6917885033455049,7.551003075496441,3.608224830031759e-16,1.7763568394002505e-15,2.7755575615628914e-16,1.7763568394002505e-15,0.12552083333333333,0.30833333333333335,0.8677817875471913,0.8792121170414352,0.1494140625,0.33193630132168994,0.734375
68,1024,64,"{""16"": 64}","{""parse_fail"": 14, ""success"": 1010}",0.2833360086871318,2.552083333333333,0.6770928454313088,5.896520696530847,3.0531133177191805e-16,1.7763568394002505e-15,2.220446049250313e-16,8.881784197001252e-16,0.12858072916666666,0.24166666666666667,0.8686974500663536,0.8771203473215397,0.1708984375,0.35463104797522005,0.734375
