step,input_hash,group_size,direct_mean,focal_mean,direct_std,focal_std,calc_direct_score,calc_focal_score,group_direct_abs_error,group_focal_abs_error,row_calc_direct_min,row_calc_direct_max,row_calc_focal_min,row_calc_focal_max,normalized_kendall_distance,spearman_rank_corr,z_advantage_corr,z_advantage_sign_flip_rate,mean_abs_z_advantage_delta,top1_same,direct_min,direct_max,focal_min,focal_max
1,0007d30954d5114de241bc7022ed670ebdfab3c2a5ad6924eaf8b590cee802ba,16,5.806647407407407,2.468801398418207,1.5834578273788815,1.8417341719570732,5.806647407407407,2.468801398418207,0.0,0.0,5.806647407407407,5.806647407407407,2.468801398418207,2.468801398418207,0.125,0.8656716417910449,0.9465689337678945,0.1875,0.2756973125487525,1.0,3.3333333333333335,8.555555555555555,0.006711681298797649,7.012547217962218
1,047e02d6f88c082b4555a45a177a163746e0a4fc3ba04afee69cd06451be1973,16,6.151013888888889,2.560756047429479,1.2229512870643733,1.6190385145499486,6.151013888888889,2.560756047429479,0.0,0.0,6.151013888888889,6.151013888888889,2.560756047429479,2.560756047429479,0.20833333333333334,0.6961659489631221,0.7667442060058954,0.3125,0.6250182488162894,1.0,3.3333333333333335,7.944444444444445,0.006839556308404788,5.827707635102448
1,0543ef27cf9e58c889992e801b793b77d32e91783a8c9f29fee16e79d7e34ab8,16,5.8365,2.9197546242646,1.854754322006017,2.2929086881411664,5.8365,2.9197546242645998,0.0,4.440892098500626e-16,5.8365,5.8365,2.9197546242645998,2.9197546242645998,0.041666666666666664,0.9757575757575757,0.975219766799475,0.0625,0.17920145216701416,1.0,3.3333333333333335,8.5,0.0030053135348256216,6.89977875826863
1,08262ed738ee91a3ccca9d6e1ad2f4fbda8c5b92111c238d5d49ce045e31eb01,16,6.096505555555556,2.729920580639953,1.4027612264040055,1.4835008789405604,6.096505555555556,2.729920580639953,0.0,0.0,6.096505555555556,6.096505555555556,2.729920580639953,2.729920580639953,0.15416666666666667,0.8438196242002223,0.9526044565854599,0.125,0.25023216698076833,0.0,3.3333333333333335,7.611111111111112,0.0021098716475305883,4.643151089295839
1,2960987ead837ecf18f28e093f7cb3a79fbb163dea5fa93e799dfb8df16e99f9,16,6.3391985185185185,3.587799997278239,1.355830511714077,1.670774642427591,6.3391985185185185,3.5877999972782386,0.0,4.440892098500626e-16,6.3391985185185185,6.3391985185185185,3.5877999972782386,3.5877999972782386,0.09166666666666666,0.923416789396171,0.958494288980287,0.125,0.22891835453820944,0.0,3.3333333333333335,8.11111111111111,0.008971809707487857,5.7117763473020045
1,2b90676295edf357602632460e186cf99d7783ca70f79f6919b3c6a8970a359b,16,6.259645138888889,2.8408417252321234,1.8179189380825902,2.206020046911579,6.259645138888889,2.8408417252321234,0.0,0.0,6.259645138888889,6.259645138888889,2.8408417252321234,2.8408417252321234,0.058333333333333334,0.9641266376283637,0.9224555143004995,0.125,0.3174980472700958,1.0,3.3333333333333335,9.0,0.002401992770531387,8.088375888413248
1,2decbc852cf1d2ada94e54ce769bcb4f2f976ed3e573608dcf2dca9eb1fac92d,16,5.670138888888889,3.001630678748309,2.4479511423892206,3.3031873941605756,5.670138888888889,3.001630678748309,0.0,0.0,5.670138888888889,5.670138888888889,3.001630678748309,3.001630678748309,0.0,1.0,0.9890032374595444,0.0,0.12483844171776257,1.0,3.3333333333333335,9.555555555555555,0.002513421511798254,8.985953359582933
1,332d3e21b768ea0acb2bcf9a12b81d7cd004f9108ad24c1a34923f335d635ee8,16,5.965717777777778,2.652176387361507,1.3850042181700262,1.589096255588037,5.965717777777778,2.652176387361507,0.0,0.0,5.965717777777778,5.965717777777778,2.652176387361507,2.652176387361507,0.15,0.8254437869822485,0.9261644497404266,0.1875,0.29880131778302726,1.0,3.3333333333333335,8.129633333333334,0.005319302959284605,5.710907572133889
1,3a7fcb0216c59e10705552072b7d144e9d6e33019995a7a5ec597542ca2adef7,16,6.244084027777777,3.737929549133774,1.8127410660291925,2.4691298609360537,6.244084027777777,3.737929549133774,0.0,0.0,6.244084027777777,6.244084027777777,3.737929549133774,3.737929549133774,0.06666666666666667,0.9552238805970151,0.9804694692663488,0.0625,0.1724473417461106,1.0,3.3333333333333335,8.88888888888889,0.004045978771824225,7.836657470238986
1,3d45bd3a5b14f5b946caf41e5ab48e3f85b0e70bc02a6b87808268dec77851a2,16,6.500220833333334,3.3272212590107086,1.3723564198486933,1.701984289021784,6.500220833333334,3.327221259010709,0.0,4.440892098500626e-16,6.500220833333334,6.500220833333334,3.327221259010709,3.327221259010709,0.1375,0.8975684087825758,0.9162381731677377,0.1875,0.299578576456876,0.0,3.3333333333333335,8.055555555555555,0.00488757121165727,6.781104291576769
